category,product_name,discounted_price,competitor_higher_price1,competitor_higher_price2,competitor_higher_price3
men+watches,Casio Edifice Ανδρικό Ρολόι Χρονογράφος Solar με Ασημί Μεταλλικό Μπρασελέ EFS-S640D-1AVUEF,163.88,220.0,163.88,174.8
men+watches,Casio Edifice Ανδρικό Ρολόι Χρονογράφος Solar με Ασημί Μεταλλικό Μπρασελέ ECB-950DB-2AEF,163.88,220.0,163.88,178.2
men+watches,Casio G-Shock Ανδρικό Ρολόι Χρονογράφος με Μαύρο Καουτσούκ Λουράκι GM-2100-1AER,145.0,220.0,145.0,169.0
men+watches,Casio Edifice Ανδρικό Ρολόι Χρονογράφος με Ασημί Μεταλλικό Μπρασελέ EFB-730D-7AVUEF,160.0,172.79,160.0,163.0
men+watches,Casio Edifice Ανδρικό Ρολόι Χρονογράφος με Ασημί Μεταλλικό Μπρασελέ EF-527D-1AVEF,138.0,155.0,138.0,156.08
men+watches,Seiko 5 Sports Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ SRPD51K1,219.0,313.03,219.0,265.85
men+watches,Citizen Tsuyosa Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ NJ0150-81L,215.0,215.0,239.85,245.0
men+watches,Citizen Promaster Ανδρικό Ρολόι Solar με Μαύρο Καουτσούκ Λουράκι BN0150-10E,189.0,275.0,189.0,215.0
men+watches,Seiko 5 Sports Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ SRPD53K1,205.0,310.0,205.0,295.85
men+watches,Citizen Tsuyosa Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ NJ0150-81E,215.0,347.43,215.0,254.0
men+watches,Seiko 5 Sports Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ SSK003K1,325.85,490.0,325.85,465.0
men+watches,Seiko 5 Sports Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ SSK001K1,325.0,512.47,325.0,379.85
men+watches,Seiko 5 Sports Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ SSK035K1,385.0,525.62,385.0,460.0
men+watches,Casio Edifice Ανδρικό Ρολόι Αυτόματο με Ασημί Μεταλλικό Μπρασελέ EFK-100D-2AER,260.0,270.0,260.0,300.0
men+watches,Citizen Promaster Ανδρικό Ρολόι Χρονογράφος με Μαύρο Καουτσούκ Λουράκι JP2000-08E,325.0,455.0,325.0,370.0
men+watches,Casio G-Shock Ψηφιακό Ανδρικό Ρολόι Χρονογράφος Solar με Μαύρο Καουτσούκ Λουράκι GX-56BB-1,125.0,188.03,125.0,145.0
men+watches,Festina Ανδρικό Ρολόι Χρονογράφος με Ασημί Μεταλλικό Μπρασελέ F20463/2,125.0,125.0,158.0,158.0
men+watches,Citizen Ανδρικό Ρολόι Solar με Ασημί Μεταλλικό Μπρασελέ AW1710-80E,129.0,129.0,155.0,165.0
men+watches,Casio G-Shock Ανδρικό Ρολόι Χρονογράφος Solar με Μαύρο Καουτσούκ Λουράκι GA-B2100-1AER,122.0,160.0,122.0,135.0
men+watches,Casio G-Shock Ψηφιακό Ανδρικό Ρολόι Χρονογράφος Solar με Μαύρο Καουτσούκ Λουράκι GW-M5610U-1BER,105.0,105.0,110.0,115.0
fragrances,Guerlain L'Homme Ideal Parfum 100ml,146.0,146.0,181.95,186.88
fragrances,Hermes H24 Herbes Vives Eau de Parfum Refill 200ml,146.12,146.12,153.42,164.62
fragrances,Maison Francis Kurkdjian Aqua Celestia Eau de Toilette 70ml,146.62,146.62,172.84,174.77
fragrances,Moncler Les Sommets Collection La Cordee Eau de Parfum 100ml,147.0,147.0,156.2,162.33
fragrances,Byredo Velvet Haze Eau de Parfum 100ml,146.0,146.0,192.79,212.59
fragrances,Dior Sauvage Elixir Eau de Parfum 100ml,157.37,157.37,170.63,171.82
fragrances,Chanel Bleu de Chanel Eau de Parfum 100ml,149.88,229.9,149.88,165.0
fragrances,Chanel Bleu de Chanel Eau de Parfum 150ml,170.0,170.0,185.5,193.56
fragrances,Chanel Bleu de Chanel Parfum 100ml,175.0,175.0,180.5,188.86
fragrances,Tom Ford Ombre Leather Eau de Parfum 150ml,171.58,192.5,171.58,177.99
fragrances,Narciso Rodriguez Pure Musc For Her Eau de Parfum 100ml,67.04,67.04,74.0,75.0
fragrances,Dior Sauvage Eau de Parfum 60ml,67.0,67.0,72.62,72.95
fragrances,Narciso Rodriguez For Her Eau de Parfum 100ml,63.74,74.76,63.74,64.99
fragrances,Mancera Cedrat Boise Intense Extrait de Parfum 120ml,64.72,64.72,85.82,86.35
